date,ticker,value
1985-11-18,aapl,0.0748061
1985-11-19,aapl,0.0723665
1985-11-20,aapl,0.0714777
1985-11-21,aapl,0.0714777
1985-11-22,aapl,0.0714777
1985-11-25,aapl,0.0717641
1985-11-26,aapl,0.0729788
1985-11-27,aapl,0.0754184
1985-11-28,aapl,0.0754184
1985-11-29,aapl,0.0756951
1985-12-02,aapl,0.076011
1985-12-03,aapl,0.0756951
1985-12-04,aapl,0.077216
1985-12-05,aapl,0.0756951
1985-12-06,aapl,0.0742036
1985-12-09,aapl,0.0729788
1985-12-10,aapl,0.0732951
1985-12-11,aapl,0.0742036
1985-12-12,aapl,0.0754184
1985-12-13,aapl,0.0754184
1985-12-16,aapl,0.078411
1985-12-17,aapl,0.0775025
1985-12-18,aapl,0.083547
1985-12-19,aapl,0.084732
1985-12-20,aapl,0.0841395
1985-12-23,aapl,0.0823322
1985-12-24,aapl,0.0817395
1985-12-25,aapl,0.0817395
1985-12-26,aapl,0.0817395
1985-12-27,aapl,0.0841395
1985-12-30,aapl,0.083547
1985-12-31,aapl,0.0826285
1986-01-01,aapl,0.0826285
1986-01-02,aapl,0.083547
1986-01-03,aapl,0.0841395
1986-01-06,aapl,0.083547
1986-01-07,aapl,0.0865692
1986-01-08,aapl,0.0859568
1986-01-09,aapl,0.0850383
1986-01-10,aapl,0.0853445
1986-01-13,aapl,0.0865692
1986-01-14,aapl,0.0874778
1986-01-15,aapl,0.0898681
1986-01-16,aapl,0.0922879
1986-01-17,aapl,0.0901645
1986-01-20,aapl,0.0898681
1986-01-21,aapl,0.0901645
1986-01-22,aapl,0.0880805
1986-01-23,aapl,0.0865692
1986-01-24,aapl,0.0850383
1986-01-27,aapl,0.0832408
1986-01-28,aapl,0.083547
1986-01-29,aapl,0.088673
1986-01-30,aapl,0.0865692
1986-01-31,aapl,0.0868754
1986-02-03,aapl,0.0898681
1986-02-04,aapl,0.0892754
1986-02-05,aapl,0.0892754
1986-02-06,aapl,0.0904804
1986-02-07,aapl,0.0901645
1986-02-10,aapl,0.0898681
1986-02-11,aapl,0.0898681
1986-02-12,aapl,0.0901645
1986-02-13,aapl,0.0898681
1986-02-14,aapl,0.0892754
1986-02-17,aapl,0.0892754
1986-02-18,aapl,0.0898681
1986-02-19,aapl,0.0941151
1986-02-20,aapl,0.0944014
1986-02-21,aapl,0.0950138
1986-02-24,aapl,0.0968212
1986-02-25,aapl,0.0992315
1986-02-26,aapl,0.0977102
1986-02-27,aapl,0.096209
1986-02-28,aapl,0.0941151
1986-03-03,aapl,0.092594
1986-03-04,aapl,0.092594
1986-03-05,aapl,0.0950138
1986-03-06,aapl,0.0955867
1986-03-07,aapl,0.0928905
1986-03-10,aapl,0.092594
1986-03-11,aapl,0.0935026
1986-03-12,aapl,0.0928905
1986-03-13,aapl,0.0928905
1986-03-14,aapl,0.0980066
1986-03-17,aapl,0.0977102
1986-03-18,aapl,0.101049
1986-03-19,aapl,0.0998239
1986-03-20,aapl,0.106165
1986-03-21,aapl,0.103754
1986-03-24,aapl,0.100447
1986-03-25,aapl,0.10495
1986-03-26,aapl,0.106165
1986-03-27,aapl,0.106165
1986-03-28,aapl,0.106165
1986-03-31,aapl,0.106165
1986-04-01,aapl,0.102529
